id,text
1000,The Tarnished will soon return.
1001,Guided by Grace once lost.
1002,The Golden Order is broken to its core.
1003,They will fight. And they will die. In an unending curse.
1004,"For how else is a champion, or a lord, to be born?"
1005,Brandish the Elden Ring.
1006,...for all of us.
1100,The fallen leaves have spoken.
1101,Of the return of the Tarnished. To the Lands Between.
10000000,"Elden Ring, O, Elden Ring."
10000100,"Shaper of life, arbiter of fate."
10000200,Lord of the very stars above.
10000300,"Tarnished warrior, spurned by the grace of gold."
10000400,Seek that which hath been lost to thee.
10000500,"Across the Sea of Fog, to the Lands Between."
10000600,Seek the Elden Ring!
11000000,"Brave Tarnished. Mighty warriors, who fought at my side."
11000100,Await the summons. It will call to thee one day.
11000200,Heed the fading grace. Listen to the Fingers.
11000300,"Gold commandeth the very stars,"
11000400,giving life its fullest brilliance.
11000500,"Elden Ring, O, Elden Ring."
11000600,"Be ready, once it is shattered."
11000700,"Seek the Elden Ring, O Tarnished."
11000800,"Across the Sea of Fog, to the Lands Between."
11000900,Become Lord. Enact thy will!
11001000,Seek the Elden Ring!
12000000,"Long ago, ye Tarnished lost something most dear."
12000100,The Elden Ring. O Elden Ring.
12000200,"Its gold commanded the very stars,"
12000300,giving life its fullest brilliance.
12000400,"Though shattered, it yet guides thy kin."
12000410,"Though fractured, it yet guides thy kin."
12000500,"Across the Sea of Fog, to the Lands Between."
12000600,"Hoarah Roux, the Gold Mask."
12000700,"Lady Yuliya, the Deathbed Companion."
12000800,The hideous Dung Eater.
12000900,"And Sir Gideon Orphnier, the All-knowing."
12001000,Each coveteth the Elden Ring.
12001100,But their ambitions are yet unmet.
12001200,Surely thou hast thine own design?
12001300,"Then implore the Two Fingers, for guidance."
12001400,"Across the Sea of Fog, to the Lands Between."
12001500,To face the Elden Ring.
12001510,To stand before the Elden Ring.
12001600,Face the Elden Ring.
12001610,And reclaim what was thine.
13000000,"Elden Ring, O Elden Ring."
13000100,"Its gold commanded the very stars,"
13000200,giving life its fullest brilliance.
13000300,"Shattered, by someone, or something."
13000310,"Fractured, by someone, or something."
13000400,"Godrick, the feeble."
13000500,"Malenia, decayed from birth."
13000600,"General Radahn, slayer of giants."
13000700,"Rykard, the tyrannical serpent."
13000800,"And Morgott, Prince of the Omen."
13000900,"Each, inheriting their own shard, played a part in the Shattering,"
13001000,"a war with no end, and no victor."
13001100,"And so the Two Fingers call upon ye, the Tarnished."
13001200,"To cross the Sea of Fog, to the Lands Between."
13001300,To seek the Elden Ring.
13001400,Seek the Elden Ring.
14000000,The fallen leaves tell a story.
14000100,The great Elden Ring was shattered.
14000200,"In our home, across the fog, the Lands Between."
14000300,"Now, Queen Marika the Eternal is nowhere to be found,"
14000400,"and in the Night of the Black Knives, Godwyn the Golden was first to perish."
14000500,"Soon, Marika's offspring, demigods all, claimed the shards of the Elden Ring."
14000600,The mad taint of their newfound strength triggered the Shattering.
14000800,A war from which no lord arose.
14000900,A war leading to abandonment by the Greater Will.
15000000,"Arise now, ye Tarnished."
15000100,"Ye dead, who yet live."
15000200,The call of long-lost grace speaks to us all.
15000300,"Hoarah Loux, chieftain of the badlands."
15000400,The ever-brilliant Goldmask.
15000500,"Fia, the Deathbed Companion."
15000600,The loathsome Dung Eater.
15000700,"And Sir Gideon Ofnir, the All-knowing."
16000000,It happened an age ago.
16000100,"But when I recall, I see it true."
16000200,On a night of wint'ry fog.
16000300,"The Rune of Death was stolen,"
16000400,"And the demigods began to fall, starting with Godwyn the Golden."
16000500,Queen Marika was driven to the brink.
16000600,"The Elden Ring was broken,"
16000700,"triggering the Shattering, an internecine war between demigods."
16000800,"The conqueror of the stars, General Radahn."
16000900,"And the Blade of Miquella, Malenia the Severed."
16001000,"These two were the mightiest to remain, and locked horns in combat."
16001100,But there would be no victor.
16001200,"And so, we inhabit a fractured world."
16001300,Awaiting the arrival of the Elden Lord.
16001400,"Unless of course, thou shouldst take the crown?"
16500000,It happened an age ago.
16500100,"But when I recall, I see it true."
16500200,On a night of wint'ry fog.
16500300,Bearers of Black Knives stole into the dark.
16500400,"And the demigods began to fall, starting with Godwyn the Golden."
16500500,Queen Marika was driven to the brink.
16500600,The Shattering ensued; a war that wrought only darkness.
16500700,"The Elden Ring was broken, but by whom? And why?"
16500800,What could the Demigods ever hope to win by warring?
16500900,"The conqueror of the stars, General Radahn."
16501000,"And the Blade of Miquella, Malenia the Severed."
16501100,"These two were the mightiest to remain, and locked horns in combat."
16501200,But why was there no victor?
16501300,"And so, we inhabit a fractured world."
16501400,Awaiting the arrival of the Elden Lord.
16501500,"Unless of course, thou shouldst take the crown?"
20010000,"You think this is the one, Torrent?"
20010010,"Is that him, Torrent?"
20010011,"Is that her, Torrent?"
20010100,"Don't worry, it's not too late."
20010200,He is sure to seek the Elden Ring.
20010201,She is sure to seek the Elden Ring.
20010300,...For that is their curse.
20015000,"Don't worry Torrent, fortune is on his side."
20015001,"Don't worry Torrent, fortune is on her side."
20015100,"We found him here, after all."
20015101,"We found her here, after all."
20015200,One of his kind is sure to seek the Elden Ring.
20015201,One of her kind is sure to seek the Elden Ring.
20015300,...Even if it does violate the Golden Order...
20030000,"Foul Tarnished,"
20030100,In search of the Elden Ring.
20030200,Emboldened by the flame of ambition.
20030300,Hrah!
20030400,Someone must extinguish thy flame.
20030500,Let it be Margit the Fell!
20040000,"Mighty dragon, thou'rt a trueborn heir."
20040100,"Lend me thy strength, o kindred."
20040200,Deliver me unto greater heights.
20040300,...Well.
20040400,"A lowly Tarnished,"
20040410,playing as a lord.
20040500,"I command thee, kneel!"
20040600,I am the lord of all that is golden!
20050000,
20050010,
20050100,<panting>
20050200,"Ahh, truest of dragons."
20050300,Lend me thy strength...
20050400,Nnngh!
20050500,<panting>
20050600,"Forefathers, one and all..."
20050700,Great King Godfrey...
20050800,Bear witness!
20070000,"It's been a long while, Morgott."
20070100,Long and hard didst thou fight.
20070200,Tarnished Warrior.
20070210,Spurned by the grace of gold.
20070300,"Be assured, the Elden Ring"
20070400,resteth close at hand.
20070500,"Alas, I am returned."
20070600,To be granted audience once more.
20070700,"Upon my name as Godfrey,"
20070800,The first Elden Lord!
20080000,Nngh!
20080100,That will be all.
20080200,"Thou didst me good service, Serosh."
20080300,I've given thee courtesy enough.
20080500,Rrraaargh!
20080600,<exhales>
20080700,Now I fight as Hoarah Loux!
20080800,Warrior!
20140000,Dearest Miquella.
20140100,You must abide alone a while.
20140200,No one else will take you.
20140300,"Never again, I swear!"
20145200,"Welcome, honoured guest."
20145300,To the birthplace of our dynasty!
20210000,Foul Tarnished.
20210100,Graceless Tarnished.
20210200,What is thy business with these thrones?
20210300,Ahh...
20210400,Godrick the Golden.
20210500,"The twin prodigies, Miquella and Malenia."
20210600,General Radahn.
20210700,Praetor Rykard.
20210800,Lunar Princess Ranni.
20210900,"Wilful traitors, all."
20211000,Thy kind are all of a piece.
20211100,"Pillagers, come seeking vengeance upon the Erdtree."
20211110,Pillagers. Emboldened by the flame of ambition.
20211200,Ngh!
20211300,Have it writ upon thy meagre grave:
20211400,Felled by King Morgott! Last of all kings.
20230000,
20230100,"O, Death."
20230110,O Destined Death...
20230200,"Become my blade, once more."
20230300,
20230400,
20230500,<long exhalation>
20240100,"Ahh, art thou come to be born anew?"
20240200,"Be not afraid, there is no pain..."
20240300,<children giggling>
20245100,"Hush, little culver."
20245101,"Hush, fair maid."
20245200,"I'll soon birth thee anew, a sweeting fresh and pure..."
20250000,"Ahh, my beloved..."
20250100,"Have no fear, I will hold thee. Patience..."
20250200,"Ye will be countless born, forever and ever."
20250210,"Ye will be countless, born, forever."
20250300,Defiler of mother's rich slumber.
20250400,"Upon my name as Ranni the
Witch, thou wilt not go
unpunished."
20250500,"After death, quite the tale will be
thine to tell."
20250600,"Of the last Queen of Caria,
Rennala of the Full Moon."
20250700,"And the majesty of the night
she conjureth."
20255000,"Ahh, my sweet children..."
20255100,"Have no fear, I will hold thee. Patience..."
20255200,"Ye will be countless born, forever and ever."
20255300,Upon my name as Ranni the Witch.
20255410,"Mother's rich slumber shall not be
disturbed by thee."
20255500,Foul trespasser.
20255600,Send word far and wide.
